Internal ID,Date,Item,Quantity
27033501,21/02/2024,34714-6G,1
27033502,21/02/2024,11580-8,1
27033503,21/02/2024,13955-0,1
27033504,21/02/2024,24110-9,3
27033505,21/02/2024,24116-6,1
27033506,21/02/2024,34714-6G,1
27033507,21/02/2024,5334-8,1
27033508,21/02/2024,83121-4,1
27033509,21/02/2024,11580-8,1
27033510,21/02/2024,22664-7,1
27033511,21/02/2024,24110-9,1
27033512,21/02/2024,34530-6,1
27033513,21/02/2024,5196-1,1
27033514,21/02/2024,56888-1,1
27033515,21/02/2024,83121-4,1
27033516,21/02/2024,83126-3,1
27033517,21/02/2024,5193-8,1
27033518,21/02/2024,5196-1,1
27033519,21/02/2024,21198-7G,1
27033520,21/02/2024,11580-8,2
27033521,21/02/2024,13955-0,1
27033522,21/02/2024,14771-0,1
27033523,21/02/2024,24110-9,1
27033524,21/02/2024,24116-6,1
27033525,21/02/2024,25390-6,1
27033526,21/02/2024,34530-6,1
27033527,21/02/2024,5193-8,1
27033528,21/02/2024,5196-1,1
27033529,21/02/2024,5334-8,1
27033530,21/02/2024,56888-1,1
27033531,21/02/2024,83121-4,2
27033532,21/02/2024,83126-3,1
27033533,21/02/2024,5193-8,1
27033534,21/02/2024,34530-6,1
27033535,21/02/2024,34714-6G,1
27036113,21/02/2024,1920-8,4
27036114,21/02/2024,2000-8,2
27036115,21/02/2024,20416-4-1O,2
27036116,21/02/2024,20567-4,1
27036117,21/02/2024,2141-0,1
27036118,21/02/2024,222FOOD,1
27036119,21/02/2024,22664-7,3
27036120,21/02/2024,2324-2,3
27036121,21/02/2024,24317-0,3
27036122,21/02/2024,2601-3,1
27036123,21/02/2024,2823-3,3
27036124,21/02/2024,3026-2,1
27036125,21/02/2024,30522-7,2
27036126,21/02/2024,3053-6,1
27036127,21/02/2024,3255-7,1
27036128,21/02/2024,34530-6,1
27036129,21/02/2024,34714-6G,1
27036130,21/02/2024,45049-4-P,2
27036131,21/02/2024,50556-0,3
27036132,21/02/2024,5231-5,2
27036133,21/02/2024,57698-3,1
27036134,21/02/2024,62238-1G,3
27036135,21/02/2024,62853-7,2
27036136,21/02/2024,63561-5G,1
27036137,21/02/2024,67151-1,1
27036138,21/02/2024,6768-6,1
27036139,21/02/2024,69419-0,3
27036140,21/02/2024,83071-1,1
27036141,21/02/2024,83073-7,1
27036142,21/02/2024,83121-4,2
27036143,21/02/2024,11580-8,5
27036144,21/02/2024,13923-8,1
27036145,21/02/2024,13955-0,3
27036146,21/02/2024,13965-9D,5
27036147,21/02/2024,14630-8G,7
27036148,21/02/2024,14647-2,1
27036149,21/02/2024,14682-9,7
27036150,21/02/2024,14771-0,10
27036151,21/02/2024,14798-3,3
27036152,21/02/2024,14879-1,4
27036153,21/02/2024,14933-6,8
27036154,21/02/2024,14955-9,1
27036155,21/02/2024,15410-4,1
27036156,21/02/2024,1742-6,10
27036157,21/02/2024,1751-7,4
27036158,21/02/2024,1920-8,9
27036159,21/02/2024,1963-8,1
27036160,21/02/2024,1988-5,1
